CandidateCode,UniversityName,UniversityCountry,PreviousQEISessionName,PreviousQEISessionStanding
1195124581,Ebonyi State University College of Health Sciences,NIGERIA,,
1363874476,University of Kordofan Faculty of Medicine and Health Sciences,SUDAN,MCCQE Part I April 2018,Fail
1083906462,Université de Montréal Faculté de Médecine,CANADA,,
1263087594,"University of Notre Dame Australia School of Medicine, Sydney",AUSTRALIA,,
1050338045,Rawalpindi Medical University,PAKISTAN,,
1242925428,Lagos State University College of Medicine,NIGERIA,,
1163770183,University of Saskatchewan College of Medicine,CANADA,,
1402334575,Université de Montréal Faculté de Médecine,CANADA,,
1519771510,Jinnah Sindh Medical University,PAKISTAN,MCCQE Part I October 2018,Fail
1288324692,University of British Columbia Faculty of Medicine,CANADA,,
1423698050,University of Khartoum Faculty of Medicine,SUDAN,,
1021352617,Imperial College London Faculty of Medicine,UNITED KINGDOM,,
1011852709,University of Pretoria School of Medicine,SOUTH AFRICA,,
1520727859,Royal College of Surgeons in Ireland - Medical University of Bahrain,BAHRAIN,,
1293972746,Windsor University School of Medicine,SAINT KITTS AND NEVIS,,
1218076897,Balkh University Faculty of Medicine,AFGHANISTAN,,
1307697835,Baotou Medical College,CHINA,MCCQE Part I August 2019,Fail
1831229052,University of Ottawa Faculty of Medicine,CANADA,MCCQE Part I April 2019,Fail
2006961927,University of Nigeria Faculty of Medicine,NIGERIA,,
1576450469,University of British Columbia Faculty of Medicine,CANADA,,
1067732223,Liaquat National Hospital and Medical College,PAKISTAN,,
1978544456,South-Ural State Medical University,RUSSIA,,
1917393519,St. George's University School of Medicine,GRENADA,,
1127894399,University of Saskatchewan College of Medicine,CANADA,,
1149597500,"J.J.M. Medical College, Davangere",INDIA,,
1226781060,Windsor University School of Medicine,SAINT KITTS AND NEVIS,,
1889415642,,,,
1134857109,National University of Science and Technology College of Medicine an,OMAN,,
1741632912,"University of the West Indies Faculty of Medical Sciences, Jamaica",JAMAICA,,
1005883350,"Cumming School of Medicine, University of Calgary",CANADA,,
1775759687,Southeast University Medical College,CHINA,,
1042217777,University of British Columbia Faculty of Medicine,CANADA,,
200264067,People's University of Medical & Health Sciences for Women,PAKISTAN,,
1844292917,University of Ottawa Faculty of Medicine,CANADA,,
1768608317,Université de Lubumbashi Faculté de Médecine,DEMOCRATIC REPUBLIC O,MCCQE Part I April 2019,Fail
1459617273,"Obafemi Awolowo College of Health Sciences, Olabisi Onabanjo Univers",NIGERIA,,
1947284253,Università degli Studi di Parma Facoltà di Medicina e Chirurgia,ITALY,,
1076554086,,,MCCQE Part I April 2019,Fail
1139939235,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,,
